station_id,station_name,state,district,city,location,latitude,longitude,operator,govt_private,charger_type,ac_dc,power_kw,connector_rating,num_connectors,source_record_count,source,data_date,status,usage_cost,review_flag
BEE-26.283858-74.751607,"VILLAGE DERATHU, TESHIL.NASIRABAD, NASIRABAD BYE PASS, NEAR NASIRABAD, , City=DERATU, District=AJMER, State=Rajasthan",Rajasthan,AJMER,DERATU,"VILLAGE DERATHU, TESHIL.NASIRABAD, NASIRABAD BYE PASS, NEAR NASIRABAD, , City=DERATU, District=AJMER, State=Rajasthan",26.283858,74.751607,BPCL,Govt.,CCS,DC,60.0,60,2,1,BEE EV Public Charging Stations Data till 26 October 2025,2025-10-26,,,
BEE-27.542083-76.676786,"#, , City=DESULA, ALWAR, District=ALWAR, State=Rajasthan",Rajasthan,ALWAR,"DESULA, ALWAR","#, , City=DESULA, ALWAR, District=ALWAR, State=Rajasthan",27.542083,76.676786,BPCL,Govt.,CCS,DC,60.0,60,2,1,BEE EV Public Charging Stations Data till 26 October 2025,2025-10-26,,,
BEE-26.058559-72.745201,"JODHPUR-BALOTRA ROAD, DHAWA, , City=DHAWA, District=JODHPUR (Rural), State=Rajasthan",Rajasthan,JODHPUR (Rural),DHAWA,"JODHPUR-BALOTRA ROAD, DHAWA, , City=DHAWA, District=JODHPUR (Rural), State=Rajasthan",26.058559,72.745201,BPCL,Govt.,CCS,DC,60.0,60,2,1,BEE EV Public Charging Stations Data till 26 October 2025,2025-10-26,,,
BEE-26.645175-77.722037,"BIJAULI,BARI, DHOLPUR, , City=DHOLPUR, District=DHOLPUR, State=Rajasthan",Rajasthan,DHOLPUR,DHOLPUR,"BIJAULI,BARI, DHOLPUR, , City=DHOLPUR, District=DHOLPUR, State=Rajasthan",26.645175,77.722037,BPCL,Govt.,CCS,DC,60.0,60,2,1,BEE EV Public Charging Stations Data till 26 October 2025,2025-10-26,,,
BEE-26.897273-77.928055,"NEAR VILLAGE BARETHA, NH-3 (DHOLPUR-AGRA ROAD), , City=DHOLPUR, District=DHOLPUR, State=Rajasthan",Rajasthan,DHOLPUR,DHOLPUR,"NEAR VILLAGE BARETHA, NH-3 (DHOLPUR-AGRA ROAD), , City=DHOLPUR, District=DHOLPUR, State=Rajasthan",26.897273,77.928055,BPCL,Govt.,CCS,DC,60.0,60,2,1,BEE EV Public Charging Stations Data till 26 October 2025,2025-10-26,,,
BEE-27.127165-74.522892,"SH-19 , TOSHINA, KHATU-KUCHAMAN ROAD, City=DIDWANA, District=DIDWANA - KUCHAMAN, State=Rajasthan",Rajasthan,DIDWANA - KUCHAMAN,DIDWANA,"SH-19 , TOSHINA, KHATU-KUCHAMAN ROAD, City=DIDWANA, District=DIDWANA - KUCHAMAN, State=Rajasthan",27.127165,74.522892,BPCL,Govt.,Bharat AC,AC,3.0,3,1,1,BEE EV Public Charging Stations Data till 26 October 2025,2025-10-26,,,
BEE-27.425295-74.546383,"SH-7 , LADNUN ROAD, City=DIDWANA, District=DIDWANA - KUCHAMAN, State=Rajasthan",Rajasthan,DIDWANA - KUCHAMAN,DIDWANA,"SH-7 , LADNUN ROAD, City=DIDWANA, District=DIDWANA - KUCHAMAN, State=Rajasthan",27.425295,74.546383,BPCL,Govt.,Bharat AC,AC,3.0,3,1,1,BEE EV Public Charging Stations Data till 26 October 2025,2025-10-26,,,
BEE-26.567592-75.127662,"KHASARA NO 3772/3642, VILLAGE RAHLANA, TEHSIL - DUDU, , City=DUDU, District=DUDU, State=Rajasthan",Rajasthan,DUDU,DUDU,"KHASARA NO 3772/3642, VILLAGE RAHLANA, TEHSIL - DUDU, , City=DUDU, District=DUDU, State=Rajasthan",26.567592,75.127662,BPCL,Govt.,Bharat AC,AC,3.0,3,1,1,BEE EV Public Charging Stations Data till 26 October 2025,2025-10-26,,,
BEE-23.935177-75.814760,"NEAR 132 KV GSS, DUG CHAUMAHLA ROAD, SH-19A, , City=DUG, District=JHALAWAR, State=Rajasthan",Rajasthan,JHALAWAR,DUG,"NEAR 132 KV GSS, DUG CHAUMAHLA ROAD, SH-19A, , City=DUG, District=JHALAWAR, State=Rajasthan",23.935177,75.81476,BPCL,Govt.,CCS,DC,60.0,60,2,1,BEE EV Public Charging Stations Data till 26 October 2025,2025-10-26,,,
BEE-23.810649-73.520815,"NH-8 BICHIWARA, POST , City=DUNGARPUR, District=DUNGARPUR, State=Rajasthan",Rajasthan,DUNGARPUR,DUNGARPUR,"NH-8 BICHIWARA, POST , City=DUNGARPUR, District=DUNGARPUR, State=Rajasthan",23.810649,73.520815,BPCL,Govt.,CCS,DC,30.0,30,1,1,BEE EV Public Charging Stations Data till 26 October 2025,2025-10-26,,,
BEE-26.800284-76.376845,Adhoc-Narayan Petroleum Delhi Mumbai Expressway At Km 195 R Village-Aluda Distt- Dausa,Rajasthan,Dausa,Dausa,Adhoc-Narayan Petroleum Delhi Mumbai Expressway At Km 195 R Village-Aluda Distt- Dausa,26.800284,76.376845,IOCL,Govt.,CCS-II,DC,30.0,30,2,2,BEE EV Public Charging Stations Data till 26 October 2025,2025-10-26,,,
BEE-26.963484-76.499419,Adhoc-Prakash Indian Oil Delhi Mumbai Expressway At Km 172 R Vill-Dhanawar Dist-Dausa,Rajasthan,Dausa,Dausa,Adhoc-Prakash Indian Oil Delhi Mumbai Expressway At Km 172 R Vill-Dhanawar Dist-Dausa,26.963484,76.499419,IOCL,Govt.,CCS-II,DC,60.0,60,1,1,BEE EV Public Charging Stations Data till 26 October 2025,2025-10-26,,,
BEE-26.998448-76.840271,"Dev Kiran Petro Services,Jaipur-Agra Road, Pipal Kheda Dausa (Rhs)",Rajasthan,Dausa,Dausa,"Dev Kiran Petro Services,Jaipur-Agra Road, Pipal Kheda Dausa (Rhs)",26.998448,76.840271,REIL,Govt.,Bharat DC-001,DC,15.0,15,1,1,BEE EV Public Charging Stations Data till 26 October 2025,2025-10-26,,,
BEE-27.076500-76.546900,Indian Oil Dealer Kaulana Distt.Dausa,Rajasthan,Dausa,Dausa,Indian Oil Dealer Kaulana Distt.Dausa,27.0765,76.5469,IOCL,Govt.,LEV AC Charge point,AC,3.3,3.3,1,1,BEE EV Public Charging Stations Data till 26 October 2025,2025-10-26,,,
BEE-26.799138-76.408177,Indian Oil Petrol Pump Alooda-Paparda Road Bagadiyawas Distt. Dausa,Rajasthan,Dausa,Dausa,Indian Oil Petrol Pump Alooda-Paparda Road Bagadiyawas Distt. Dausa,26.799138,76.408177,IOCL,Govt.,LEV AC Charge point,AC,3.3,3.3,1,1,BEE EV Public Charging Stations Data till 26 October 2025,2025-10-26,,,
BEE-27.072896-76.717632,Indian Oil Petrol Pump Bandikui-Mandawar Road Golada Distt. Dausa,Rajasthan,Dausa,Dausa,Indian Oil Petrol Pump Bandikui-Mandawar Road Golada Distt. Dausa,27.072896,76.717632,IOCL,Govt.,LEV AC Charge point,AC,3.3,3.3,1,1,BEE EV Public Charging Stations Data till 26 October 2025,2025-10-26,,,
BEE-27.067982-76.600747,Indian Oil Petrol Pump Biwai Road Near Panchmukhi Tiraha Panditpura,Rajasthan,Dausa,Dausa,Indian Oil Petrol Pump Biwai Road Near Panchmukhi Tiraha Panditpura,27.067982,76.600747,IOCL,Govt.,LEV AC Charge point,AC,3.3,3.3,1,1,BEE EV Public Charging Stations Data till 26 October 2025,2025-10-26,,,
BEE-26.473500-76.375100,Indian Oil Petrol Pump Lalsot Sawai Madhopur Road Bilona Kalan Distt. Dausa,Rajasthan,Dausa,Dausa,Indian Oil Petrol Pump Lalsot Sawai Madhopur Road Bilona Kalan Distt. Dausa,26.4735,76.3751,IOCL,Govt.,LEV AC Charge point,AC,3.3,3.3,1,1,BEE EV Public Charging Stations Data till 26 October 2025,2025-10-26,,,
BEE-26.692946-76.317564,Indian Oil Petrol Pump Nh 11 A Dausa-Lalsot Road Rahuwas Distt. Dausa,Rajasthan,Dausa,Dausa,Indian Oil Petrol Pump Nh 11 A Dausa-Lalsot Road Rahuwas Distt. Dausa,26.692946,76.317564,IOCL,Govt.,LEV AC Charge point,AC,3.3,3.3,1,1,BEE EV Public Charging Stations Data till 26 October 2025,2025-10-26,,,
BEE-26.878766-76.337226,Indian Oil Petrol Pump Plot No. 2 Dausa Kalan To Lalsot Road,Rajasthan,Dausa,Dausa,Indian Oil Petrol Pump Plot No. 2 Dausa Kalan To Lalsot Road,26.878766,76.337226,IOCL,Govt.,LEV AC Charge point,AC,3.3,3.3,1,1,BEE EV Public Charging Stations Data till 26 October 2025,2025-10-26,,,
BEE-26.750928-76.395784,Indian Oil Petrol Pump Village- Chharera Teh- Nangal Raja Distt- Dausa State-Rajasthan,Rajasthan,Dausa,Dausa,Indian Oil Petrol Pump Village- Chharera Teh- Nangal Raja Distt- Dausa State-Rajasthan,26.750928,76.395784,IOCL,Govt.,LEV AC Charge point,AC,3.3,3.3,1,1,BEE EV Public Charging Stations Data till 26 October 2025,2025-10-26,,,
BEE-26.884250-76.334290,Indian Oil Petrol Pump Village- Dausa Kalan Tehsil- Distt-Dausa,Rajasthan,Dausa,Dausa,Indian Oil Petrol Pump Village- Dausa Kalan Tehsil- Distt-Dausa,26.88425,76.33429,IOCL,Govt.,LEV AC Charge point,AC,3.3,3.3,1,1,BEE EV Public Charging Stations Data till 26 October 2025,2025-10-26,,,
BEE-26.859792-76.282639,Indian Oil Petrol Pump Village-Singwara Tehsil-Lawan Dist-Dausa,Rajasthan,Dausa,Dausa,Indian Oil Petrol Pump Village-Singwara Tehsil-Lawan Dist-Dausa,26.859792,76.282639,IOCL,Govt.,LEV AC Charge point,AC,3.3,3.3,1,1,BEE EV Public Charging Stations Data till 26 October 2025,2025-10-26,,,
BEE-26.953910-76.633813,Manpur-Dausa,Rajasthan,Dausa,Dausa,Manpur-Dausa,26.95391,76.633813,HPCL,Govt.,CCS-II,DC,30.0,30,1,1,BEE EV Public Charging Stations Data till 26 October 2025,2025-10-26,,,
BEE-26.947996-76.576311,"Mohan Service Station,Indian Oil Petrol Pump Nh-11 Jaipur Agra Road Sikandra Distt. Dausa",Rajasthan,Dausa,Dausa,"Mohan Service Station,Indian Oil Petrol Pump Nh-11 Jaipur Agra Road Sikandra Distt. Dausa",26.947996,76.576311,REIL,Govt.,Bharat DC-001,DC,15.0,15,1,1,BEE EV Public Charging Stations Data till 26 October 2025,2025-10-26,,,
BEE-26.965048-76.738281,Nh-11 Kgeda Pahadpur Tehsil- Sikr Distt. Dausa,Rajasthan,Dausa,Dausa,Nh-11 Kgeda Pahadpur Tehsil- Sikr Distt. Dausa,26.965048,76.738281,IOCL,Govt.,LEV AC Charge point,AC,3.3,3.3,1,1,BEE EV Public Charging Stations Data till 26 October 2025,2025-10-26,,,
BEE-26.970190-76.790001,"Nh21, Mehandipur Balaji Mod, Dausa Rajasthan 303303",Rajasthan,Dausa,Dausa,"Nh21, Mehandipur Balaji Mod, Dausa Rajasthan 303303",26.97019,76.790001,Sharify,Private,CCS-II,DC,30.0,30,1,1,BEE EV Public Charging Stations Data till 26 October 2025,2025-10-26,,,
BEE-26.908500-76.393700,Prakash Indian Oil,Rajasthan,Dausa,Dausa,Prakash Indian Oil,26.9085,76.3937,REIL,Govt.,Bharat AC-001,AC,3.3,3.3,1,1,BEE EV Public Charging Stations Data till 26 October 2025,2025-10-26,,,
BEE-27.016300-76.864900,Sd. Shishram Gill Filling Station,Rajasthan,Dausa,Dausa,Sd. Shishram Gill Filling Station,27.0163,76.8649,REIL,Govt.,Bharat DC-001,DC,15.0,15,1,1,BEE EV Public Charging Stations Data till 26 October 2025,2025-10-26,,,
BEE-26.910982-76.610793,Sikandara To Geejgarh Road On Sh-25 Village - Ramgarh Tehsil Sikrai Dist. Dausa,Rajasthan,Dausa,Dausa,Sikandara To Geejgarh Road On Sh-25 Village - Ramgarh Tehsil Sikrai Dist. Dausa,26.910982,76.610793,IOCL,Govt.,LEV AC Charge point,AC,3.3,3.3,1,1,BEE EV Public Charging Stations Data till 26 October 2025,2025-10-26,,,
